idx,A_hex,B_hex,interp,base,endian_map,mult,offset_units,offset_bytes,abs_off,size,preview_len,magic,hex_preview
2,000100,16ed00,"+dir(906), LE A->off, B->size, x0x1",+dir(906),"LE A->off, B->size",1,256,256,1182,60694,64,unknown,d1 f7 00 01 00 15 15 00 00 66 5a 68 2d 57 b9 e8 2f 1c 0f ee 8b 92 a3 5d 95 f4 a3 6e 59 a2 f5 ce c8 8b 9c 37 ca e4 8e 7b f8 14 15 bd 3f a0 1a f0 79 24 00 01 00 80 23 00 00 9a 0e 8d b1 d8 8a a3
2,000100,16ed00,"+dir(906), LE A->off, B->size, x0x10",+dir(906),"LE A->off, B->size",16,256,4096,5022,60694,64,unknown,c5 08 00 01 01 19 68 00 00 67 53 78 dd 70 5c ef b9 35 43 72 ae 7e bd 38 81 80 a3 c5 b9 c1 55 b5 07 5f 53 be c5 ad 1e 12 7c 2e aa 71 4c 87 6f 9e 9d e9 00 01 00 86 73 00 00 9b 94 12 f5 22 87 c1
2,000100,16ed00,"+dir(906), LE A->off, B->size, x0x200",+dir(906),"LE A->off, B->size",512,256,131072,131998,60694,64,ASCII(1),b5 ef 95 31 f3 45 5a c2 16 aa c3 fd 77 70 53 26 bc 9d 36 b9 35 68 da 50 08 65 47 38 3b 54 e2 56 f6 8d 54 4e c0 38 c1 65 d5 3e 69 7b 24 12 91 f9 59 a8 78 31 ee aa 0f 21 41 06 b5 3c 16 83 fe 29
2,000100,16ed00,"+dir(906), LE A->off, B->size, x0x400",+dir(906),"LE A->off, B->size",1024,256,262144,263070,60694,64,unknown,fa 0d 66 51 3d af de 38 bd cb 99 a9 30 37 d8 50 0b b4 2f 07 4e be e0 27 c3 64 48 8f ef c7 ad 29 39 f2 16 e8 85 8f c5 18 97 17 94 ca 07 c2 6e e3 99 38 1a 7f 5d 78 9a f7 31 b9 ec e9 d3 9a 14 df
2,000100,16ed00,"+dir(906), LE A->off, B->size, x0x800",+dir(906),"LE A->off, B->size",2048,256,524288,525214,60694,64,ASCII(@),a3 e1 b3 40 a1 80 ca fc 9b 9e 3d 4e 02 fe f3 5a 3f 53 d9 2e 4d 23 e3 02 7e 34 c1 1c b9 06 fa 6a 94 fb 58 33 43 b3 62 17 ab dd 89 48 b6 a1 9a 8b 1b 35 24 d8 85 48 a9 ec 00 7d b4 44 4e bd c0 6c
2,000100,16ed00,"+dir(906), LE A->off, B->size, x0x1000",+dir(906),"LE A->off, B->size",4096,256,1048576,1049502,60694,64,"ASCII("")",f3 22 be ea 17 7c ec 02 0d 3d 89 fd e5 1b 10 01 56 96 ed d5 cc e8 98 23 da a2 87 2f a2 d4 65 bd f9 48 98 7a c3 38 a0 9b e1 6b e9 f8 a1 ac 91 5b b7 9f d7 db f9 90 fa de 4a 50 40 57 42 22 17 f0
2,000100,16ed00,"+dir(906), LE B->off, A->size, x0x1",+dir(906),"LE B->off, A->size",1,60694,60694,61620,256,64,unknown,00 5b 6c 20 2e ac d4 31 0c 20 f9 d9 c7 ac ae c1 ea 5f a7 42 7e 3c 00 a3 37 42 91 03 5b eb 07 d8 e0 19 32 85 38 af 69 0f 77 dd 23 02 8e f0 c8 28 d1 72 e3 dd f9 42 7d aa 93 5d 62 eb 1e 35 57 2e
2,000100,16ed00,"+dir(906), LE B->off, A->size, x0x10",+dir(906),"LE B->off, A->size",16,60694,971104,972030,256,64,unknown,1e 97 64 0e 3c 63 b1 6e ab 1c ad 01 1d ee 1e ef a4 71 39 e2 ff a9 eb 77 38 61 81 98 4b 34 52 26 e8 dc f6 c3 68 a5 44 28 cd 09 f8 fc 9f 11 7b f1 f1 8f e6 d1 ba e9 76 37 f7 56 cd 85 fd 1f ee f7
2,000100,16ed00,"+dir(raw_be=909), LE A->off, B->size, x0x1",+dir(raw_be=909),"LE A->off, B->size",1,256,256,1185,60694,64,unknown,01 00 15 15 00 00 66 5a 68 2d 57 b9 e8 2f 1c 0f ee 8b 92 a3 5d 95 f4 a3 6e 59 a2 f5 ce c8 8b 9c 37 ca e4 8e 7b f8 14 15 bd 3f a0 1a f0 79 24 00 01 00 80 23 00 00 9a 0e 8d b1 d8 8a a3 58 a8 0f
2,000100,16ed00,"+dir(raw_be=909), LE A->off, B->size, x0x10",+dir(raw_be=909),"LE A->off, B->size",16,256,4096,5025,60694,64,unknown,01 01 19 68 00 00 67 53 78 dd 70 5c ef b9 35 43 72 ae 7e bd 38 81 80 a3 c5 b9 c1 55 b5 07 5f 53 be c5 ad 1e 12 7c 2e aa 71 4c 87 6f 9e 9d e9 00 01 00 86 73 00 00 9b 94 12 f5 22 87 c1 55 7b 43
2,000100,16ed00,"+dir(raw_be=909), LE A->off, B->size, x0x200",+dir(raw_be=909),"LE A->off, B->size",512,256,131072,132001,60694,64,ASCII(1EZ),31 f3 45 5a c2 16 aa c3 fd 77 70 53 26 bc 9d 36 b9 35 68 da 50 08 65 47 38 3b 54 e2 56 f6 8d 54 4e c0 38 c1 65 d5 3e 69 7b 24 12 91 f9 59 a8 78 31 ee aa 0f 21 41 06 b5 3c 16 83 fe 29 19 b7 25
2,000100,16ed00,"+dir(raw_be=909), LE A->off, B->size, x0x400",+dir(raw_be=909),"LE A->off, B->size",1024,256,262144,263073,60694,64,ASCII(Q=),51 3d af de 38 bd cb 99 a9 30 37 d8 50 0b b4 2f 07 4e be e0 27 c3 64 48 8f ef c7 ad 29 39 f2 16 e8 85 8f c5 18 97 17 94 ca 07 c2 6e e3 99 38 1a 7f 5d 78 9a f7 31 b9 ec e9 d3 9a 14 df 16 f6 25
2,000100,16ed00,"+dir(raw_be=909), LE A->off, B->size, x0x800",+dir(raw_be=909),"LE A->off, B->size",2048,256,524288,525217,60694,64,ASCII(@),40 a1 80 ca fc 9b 9e 3d 4e 02 fe f3 5a 3f 53 d9 2e 4d 23 e3 02 7e 34 c1 1c b9 06 fa 6a 94 fb 58 33 43 b3 62 17 ab dd 89 48 b6 a1 9a 8b 1b 35 24 d8 85 48 a9 ec 00 7d b4 44 4e bd c0 6c b2 9c e6
2,000100,16ed00,"+dir(raw_be=909), LE A->off, B->size, x0x1000",+dir(raw_be=909),"LE A->off, B->size",4096,256,1048576,1049505,60694,64,unknown,ea 17 7c ec 02 0d 3d 89 fd e5 1b 10 01 56 96 ed d5 cc e8 98 23 da a2 87 2f a2 d4 65 bd f9 48 98 7a c3 38 a0 9b e1 6b e9 f8 a1 ac 91 5b b7 9f d7 db f9 90 fa de 4a 50 40 57 42 22 17 f0 a0 0d 0a
2,000100,16ed00,"+dir(raw_be=909), LE B->off, A->size, x0x1",+dir(raw_be=909),"LE B->off, A->size",1,60694,60694,61623,256,64,ASCII( .),20 2e ac d4 31 0c 20 f9 d9 c7 ac ae c1 ea 5f a7 42 7e 3c 00 a3 37 42 91 03 5b eb 07 d8 e0 19 32 85 38 af 69 0f 77 dd 23 02 8e f0 c8 28 d1 72 e3 dd f9 42 7d aa 93 5d 62 eb 1e 35 57 2e 1b 5a 83
2,000100,16ed00,"+dir(raw_be=909), LE B->off, A->size, x0x10",+dir(raw_be=909),"LE B->off, A->size",16,60694,971104,972033,256,64,unknown,0e 3c 63 b1 6e ab 1c ad 01 1d ee 1e ef a4 71 39 e2 ff a9 eb 77 38 61 81 98 4b 34 52 26 e8 dc f6 c3 68 a5 44 28 cd 09 f8 fc 9f 11 7b f1 f1 8f e6 d1 ba e9 76 37 f7 56 cd 85 fd 1f ee f7 c4 70 74
10,000100,884e00,"+dir(906), LE A->off, B->size, x0x1",+dir(906),"LE A->off, B->size",1,256,256,1182,20104,64,unknown,d1 f7 00 01 00 15 15 00 00 66 5a 68 2d 57 b9 e8 2f 1c 0f ee 8b 92 a3 5d 95 f4 a3 6e 59 a2 f5 ce c8 8b 9c 37 ca e4 8e 7b f8 14 15 bd 3f a0 1a f0 79 24 00 01 00 80 23 00 00 9a 0e 8d b1 d8 8a a3
10,000100,884e00,"+dir(906), LE A->off, B->size, x0x10",+dir(906),"LE A->off, B->size",16,256,4096,5022,20104,64,unknown,c5 08 00 01 01 19 68 00 00 67 53 78 dd 70 5c ef b9 35 43 72 ae 7e bd 38 81 80 a3 c5 b9 c1 55 b5 07 5f 53 be c5 ad 1e 12 7c 2e aa 71 4c 87 6f 9e 9d e9 00 01 00 86 73 00 00 9b 94 12 f5 22 87 c1
10,000100,884e00,"+dir(906), LE A->off, B->size, x0x200",+dir(906),"LE A->off, B->size",512,256,131072,131998,20104,64,ASCII(1),b5 ef 95 31 f3 45 5a c2 16 aa c3 fd 77 70 53 26 bc 9d 36 b9 35 68 da 50 08 65 47 38 3b 54 e2 56 f6 8d 54 4e c0 38 c1 65 d5 3e 69 7b 24 12 91 f9 59 a8 78 31 ee aa 0f 21 41 06 b5 3c 16 83 fe 29
10,000100,884e00,"+dir(906), LE A->off, B->size, x0x400",+dir(906),"LE A->off, B->size",1024,256,262144,263070,20104,64,unknown,fa 0d 66 51 3d af de 38 bd cb 99 a9 30 37 d8 50 0b b4 2f 07 4e be e0 27 c3 64 48 8f ef c7 ad 29 39 f2 16 e8 85 8f c5 18 97 17 94 ca 07 c2 6e e3 99 38 1a 7f 5d 78 9a f7 31 b9 ec e9 d3 9a 14 df
10,000100,884e00,"+dir(906), LE A->off, B->size, x0x800",+dir(906),"LE A->off, B->size",2048,256,524288,525214,20104,64,ASCII(@),a3 e1 b3 40 a1 80 ca fc 9b 9e 3d 4e 02 fe f3 5a 3f 53 d9 2e 4d 23 e3 02 7e 34 c1 1c b9 06 fa 6a 94 fb 58 33 43 b3 62 17 ab dd 89 48 b6 a1 9a 8b 1b 35 24 d8 85 48 a9 ec 00 7d b4 44 4e bd c0 6c
10,000100,884e00,"+dir(906), LE A->off, B->size, x0x1000",+dir(906),"LE A->off, B->size",4096,256,1048576,1049502,20104,64,"ASCII("")",f3 22 be ea 17 7c ec 02 0d 3d 89 fd e5 1b 10 01 56 96 ed d5 cc e8 98 23 da a2 87 2f a2 d4 65 bd f9 48 98 7a c3 38 a0 9b e1 6b e9 f8 a1 ac 91 5b b7 9f d7 db f9 90 fa de 4a 50 40 57 42 22 17 f0
10,000100,884e00,"+dir(906), LE B->off, A->size, x0x1",+dir(906),"LE B->off, A->size",1,20104,20104,21030,256,64,ASCII(l(M),6c 28 85 4d d8 b0 d3 7c 28 5b 48 70 c3 7d 27 a1 f1 2e 19 e8 89 0e 4b 4a 81 6c 00 02 01 32 40 00 00 03 92 bb 1d c6 cb 3e 29 bb 63 d1 32 a0 6e c9 65 76 cf d3 a4 b4 e3 96 58 c7 98 5a 9b 59 c6 59
10,000100,884e00,"+dir(906), LE B->off, A->size, x0x10",+dir(906),"LE B->off, A->size",16,20104,321664,322590,256,64,unknown,8f 9a e2 a9 79 13 56 0f e7 6d 7a 68 21 54 16 5c 95 3a 6a 62 fa 3d 20 85 16 7a 5b a1 ba 93 8e 1b 65 b8 be f2 40 1d 55 0a 12 63 63 69 c3 6e 90 3e f8 af 77 66 02 9a 1b 17 d2 ed 5a 63 74 96 54 3f
10,000100,884e00,"+dir(raw_be=909), LE A->off, B->size, x0x1",+dir(raw_be=909),"LE A->off, B->size",1,256,256,1185,20104,64,unknown,01 00 15 15 00 00 66 5a 68 2d 57 b9 e8 2f 1c 0f ee 8b 92 a3 5d 95 f4 a3 6e 59 a2 f5 ce c8 8b 9c 37 ca e4 8e 7b f8 14 15 bd 3f a0 1a f0 79 24 00 01 00 80 23 00 00 9a 0e 8d b1 d8 8a a3 58 a8 0f
10,000100,884e00,"+dir(raw_be=909), LE A->off, B->size, x0x10",+dir(raw_be=909),"LE A->off, B->size",16,256,4096,5025,20104,64,unknown,01 01 19 68 00 00 67 53 78 dd 70 5c ef b9 35 43 72 ae 7e bd 38 81 80 a3 c5 b9 c1 55 b5 07 5f 53 be c5 ad 1e 12 7c 2e aa 71 4c 87 6f 9e 9d e9 00 01 00 86 73 00 00 9b 94 12 f5 22 87 c1 55 7b 43
10,000100,884e00,"+dir(raw_be=909), LE A->off, B->size, x0x200",+dir(raw_be=909),"LE A->off, B->size",512,256,131072,132001,20104,64,ASCII(1EZ),31 f3 45 5a c2 16 aa c3 fd 77 70 53 26 bc 9d 36 b9 35 68 da 50 08 65 47 38 3b 54 e2 56 f6 8d 54 4e c0 38 c1 65 d5 3e 69 7b 24 12 91 f9 59 a8 78 31 ee aa 0f 21 41 06 b5 3c 16 83 fe 29 19 b7 25
10,000100,884e00,"+dir(raw_be=909), LE A->off, B->size, x0x400",+dir(raw_be=909),"LE A->off, B->size",1024,256,262144,263073,20104,64,ASCII(Q=),51 3d af de 38 bd cb 99 a9 30 37 d8 50 0b b4 2f 07 4e be e0 27 c3 64 48 8f ef c7 ad 29 39 f2 16 e8 85 8f c5 18 97 17 94 ca 07 c2 6e e3 99 38 1a 7f 5d 78 9a f7 31 b9 ec e9 d3 9a 14 df 16 f6 25
10,000100,884e00,"+dir(raw_be=909), LE A->off, B->size, x0x800",+dir(raw_be=909),"LE A->off, B->size",2048,256,524288,525217,20104,64,ASCII(@),40 a1 80 ca fc 9b 9e 3d 4e 02 fe f3 5a 3f 53 d9 2e 4d 23 e3 02 7e 34 c1 1c b9 06 fa 6a 94 fb 58 33 43 b3 62 17 ab dd 89 48 b6 a1 9a 8b 1b 35 24 d8 85 48 a9 ec 00 7d b4 44 4e bd c0 6c b2 9c e6
10,000100,884e00,"+dir(raw_be=909), LE A->off, B->size, x0x1000",+dir(raw_be=909),"LE A->off, B->size",4096,256,1048576,1049505,20104,64,unknown,ea 17 7c ec 02 0d 3d 89 fd e5 1b 10 01 56 96 ed d5 cc e8 98 23 da a2 87 2f a2 d4 65 bd f9 48 98 7a c3 38 a0 9b e1 6b e9 f8 a1 ac 91 5b b7 9f d7 db f9 90 fa de 4a 50 40 57 42 22 17 f0 a0 0d 0a
