idx,raw6,A_hex,B_hex,A_le,B_le,A_be,B_be
0,a900010567f5,a90001,0567f5,65705,16082693,11075585,354293
1,a07d40f76a84,a07d40,f76a84,4226464,8678135,10517824,16214660
2,00010016ed00,000100,16ed00,256,60694,256,1502464
3,0004dc6a1b38,0004dc,6a1b38,14418944,3677034,1244,6953784
4,7d3b7fa10093,7d3b7f,a10093,8338301,9633953,8207231,10551443
5,e8ef22376c3e,e8ef22,376c3e,2289640,4090935,15265570,3632190
6,1c2f729cbb94,1c2f72,9cbb94,7483164,9747356,1847154,10271636
7,72525f104289,72525f,104289,6247026,8995344,7492191,1065609
8,251ffb20ec75,251ffb,20ec75,16457509,7728160,2433019,2157685
9,88fffa5ceb84,88fffa,5ceb84,16449416,8711004,8978426,6089604
10,000100884e00,000100,884e00,256,20104,256,8932864
11,0066db58e23d,0066db,58e23d,14378496,4055640,26331,5825085
12,75dbc6e30107,75dbc6,e30107,13032309,459235,7723974,14876935
13,09a0a37bed9d,09a0a3,7bed9d,10723337,10349947,630947,8121757
14,5d396232778d,5d3962,32778d,6437213,9271090,6109538,3307405
15,945d5c9229c1,945d5c,9229c1,6053268,12659090,9723228,9578945
16,bef00e6da583,bef00e,6da583,979134,8627565,12513294,7185795
17,e4fd444346f9,e4fd44,4346f9,4521444,16336451,15007044,4409081
18,000101400d00,000101,400d00,65792,3392,257,4197632
19,009aa7159e58,009aa7,159e58,10983936,5807637,39591,1416792
20,e771afdb0124,e771af,db0124,11497959,2359771,15167919,14352676
21,cf399ecc4fb4,cf399e,cc4fb4,10369487,11816908,13580702,13389748
22,4d63707b0a01,4d6370,7b0a01,7365453,68219,5071728,8063489
23,a7238dbaebec,a7238d,baebec,9249703,15526842,10953613,12250092
24,dd8a12b2ecad,dd8a12,b2ecad,1215197,11398322,14518802,11725997
25,aeca7cdedcab,aeca7c,dedcab,8178350,11263198,11455100,14605483
26,0001000e8b00,000100,0e8b00,256,35598,256,953088
27,00823b495f44,00823b,495f44,3899904,4480841,33339,4808516
28,f49568290184,f49568,290184,6854132,8651049,16029032,2687364
29,450a323f026b,450a32,3f026b,3279429,7012927,4524594,4129387
30,b06f6a48e678,b06f6a,48e678,6975408,7923272,11562858,4777592
31,fe5ef2008349,fe5ef2,008349,15884030,4817664,16670450,33609
32,90aad6a1658b,90aad6,a1658b,14068368,9135521,9480918,10577291
33,dd6bc14b64d3,dd6bc1,4b64d3,12676061,13853771,14511041,4941011
34,0001008e7200,000100,8e7200,256,29326,256,9335296
35,0067be131aae,0067be,131aae,12478208,11409939,26558,1252014
36,77011476018d,770114,76018d,1311095,9240950,7799060,7733645
37,ab47719976f7,ab4771,9976f7,7423915,16217753,11224945,10057463
38,1c5cc41f095e,1c5cc4,1f095e,12868636,6162719,1858756,2034014
39,d629ff2615d3,d629ff,2615d3,16722390,13833510,14035455,2495955
40,d81b52e65cde,d81b52,e65cde,5381080,14572774,14162770,15097054
41,1a96218a5f90,1a9621,8a5f90,2201114,9461642,1742369,9068432
42,000100b9d700,000100,b9d700,256,55225,256,12179200
43,0003cb0fdcb1,0003cb,0fdcb1,13304576,11656207,971,1039537
44,5b42cc0b02d8,5b42cc,0b02d8,13386331,14156299,5980876,721624
45,44538b40a27a,44538b,40a27a,9130820,8036928,4477835,4235898
46,286894df1e55,286894,df1e55,9725992,5578463,2648212,14622293
47,5627e801093d,5627e8,01093d,15214422,4000001,5646312,67901
48,bade09f53125,bade09,f53125,646842,2437621,12246537,16068901
49,81c7c96da8c4,81c7c9,6da8c4,13223809,12888173,8505289,7186628
50,000100e6e800,000100,e6e800,256,59622,256,15132672
51,0081ed8f6406,0081ed,8f6406,15565056,418959,33261,9397254
52,1c061c2a0329,1c061c,2a0329,1836572,2687786,1836572,2753321
53,8b41ebbc7a2b,8b41eb,bc7a2b,15417739,2849468,9126379,12352043
54,f847904bf00a,f84790,4bf00a,9455608,716875,16271248,4976650
